O*NET-SOC Code,Element ID,Element Name,Scale ID,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
11-3031.01,4.A.4.c.2,Staffing Organizational Units,IM,3.32,25,n/a,n/a,n/a,n/a,n/a,08/2020,Occupational Expert
11-3031.01,4.A.4.c.2,Staffing Organizational Units,LV,4.46,24,n/a,n/a,n/a,n/a,N,08/2020,Occupational Expert
11-3031.01,4.A.4.c.3,Monitoring and Controlling Resources,IM,3.68,25,n/a,n/a,n/a,n/a,n/a,08/2020,Occupational Expert
11-3031.01,4.A.4.c.3,Monitoring and Controlling Resources,LV,4.96,24,n/a,n/a,n/a,n/a,N,08/2020,Occupational Expert
11-3031.03,4.A.1.a.1,Getting Information,IM,4.84,27,0.0596,4.7137,4.9588,N,n/a,07/2014,Incumbent
11-3031.03,4.A.1.a.1,Getting Information,LV,5.85,26,0.1951,5.4463,6.2500,N,N,07/2014,Incumbent
11-3031.03,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",IM,2.97,27,0.2770,2.4026,3.5414,N,n/a,07/2014,Incumbent
11-3031.03,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",LV,3.46,25,0.4609,2.5043,4.4066,N,N,07/2014,Incumbent
11-3031.03,4.A.1.b.1,"Identifying Objects, Actions, and Events",IM,4.38,27,0.1380,4.0989,4.6664,N,n/a,07/2014,Incumbent
11-3031.03,4.A.1.b.1,"Identifying Objects, Actions, and Events",LV,5.17,26,0.2521,4.6495,5.6882,N,N,07/2014,Incumbent
11-3031.03,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",IM,1.76,27,0.2599,1.2214,2.2900,N,n/a,07/2014,Incumbent
11-3031.03,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",LV,0.99,26,0.4090,0.1505,1.8352,N,N,07/2014,Incumbent
11-3031.03,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",IM,3.77,27,0.2812,3.1871,4.3431,N,n/a,07/2014,Incumbent
11-3031.03,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",LV,4.58,26,0.2940,3.9778,5.1886,N,N,07/2014,Incumbent
11-3031.03,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",IM,3.68,27,0.2191,3.2255,4.1263,N,n/a,07/2014,Incumbent
11-3031.03,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",LV,4.85,26,0.2705,4.2952,5.4096,N,N,07/2014,Incumbent
11-3031.03,4.A.2.a.2,Processing Information,IM,4.45,27,0.1430,4.1576,4.7454,N,n/a,07/2014,Incumbent
11-3031.03,4.A.2.a.2,Processing Information,LV,5.72,26,0.3266,5.0454,6.3907,N,N,07/2014,Incumbent
11-3031.03,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,IM,3.48,27,0.2147,3.0421,3.9246,N,n/a,07/2014,Incumbent
11-3031.03,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,LV,4.16,26,0.4804,3.1686,5.1474,N,N,07/2014,Incumbent
11-3031.03,4.A.2.a.4,Analyzing Data or Information,IM,4.75,27,0.1004,4.5473,4.9599,N,n/a,07/2014,Incumbent
11-3031.03,4.A.2.a.4,Analyzing Data or Information,LV,5.94,26,0.2234,5.4776,6.3977,N,N,07/2014,Incumbent
11-3031.03,4.A.2.b.1,Making Decisions and Solving Problems,IM,4.49,27,0.1052,4.2754,4.7078,N,n/a,07/2014,Incumbent
11-3031.03,4.A.2.b.1,Making Decisions and Solving Problems,LV,5.49,26,0.2515,4.9749,6.0110,N,N,07/2014,Incumbent
11-3031.03,4.A.2.b.2,Thinking Creatively,IM,3.73,27,0.2871,3.1369,4.3174,N,n/a,07/2014,Incumbent
11-3031.03,4.A.2.b.2,Thinking Creatively,LV,4.83,26,0.5166,3.7706,5.8987,N,N,07/2014,Incumbent
11-3031.03,4.A.2.b.3,Updating and Using Relevant Knowledge,IM,3.96,27,0.3563,3.2301,4.6948,N,n/a,07/2014,Incumbent
11-3031.03,4.A.2.b.3,Updating and Using Relevant Knowledge,LV,5.20,26,0.3769,4.4264,5.9788,N,N,07/2014,Incumbent
11-3031.03,4.A.2.b.4,Developing Objectives and Strategies,IM,3.60,27,0.2477,3.0915,4.1100,N,n/a,07/2014,Incumbent
11-3031.03,4.A.2.b.4,Developing Objectives and Strategies,LV,4.17,25,0.4814,3.1724,5.1594,N,N,07/2014,Incumbent
11-3031.03,4.A.2.b.5,Scheduling Work and Activities,IM,2.76,27,0.2011,2.3477,3.1745,N,n/a,07/2014,Incumbent
11-3031.03,4.A.2.b.5,Scheduling Work and Activities,LV,3.21,26,0.3720,2.4404,3.9727,N,N,07/2014,Incumbent
11-3031.03,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",IM,4.01,27,0.1715,3.6571,4.3622,N,n/a,07/2014,Incumbent
11-3031.03,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",LV,4.59,26,0.2778,4.0194,5.1636,N,N,07/2014,Incumbent
11-3031.03,4.A.3.a.1,Performing General Physical Activities,IM,1.20,27,0.0971,1.0041,1.4034,N,n/a,07/2014,Incumbent
11-3031.03,4.A.3.a.1,Performing General Physical Activities,LV,0.32,26,0.1752,0.0000,0.6777,Y,Y,07/2014,Incumbent
11-3031.03,4.A.3.a.2,Handling and Moving Objects,IM,1.16,27,0.0817,1.0000,1.3317,N,n/a,07/2014,Incumbent
11-3031.03,4.A.3.a.2,Handling and Moving Objects,LV,0.40,27,0.2069,0.0000,0.8295,Y,Y,07/2014,Incumbent
11-3031.03,4.A.3.a.3,Controlling Machines and Processes,IM,1.25,27,0.1120,1.0210,1.4813,N,n/a,07/2014,Incumbent
11-3031.03,4.A.3.a.3,Controlling Machines and Processes,LV,0.44,26,0.2326,0.0000,0.9154,Y,N,07/2014,Incumbent
11-3031.03,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",IM,1.14,27,0.0813,1.0000,1.3030,N,n/a,07/2014,Incumbent
11-3031.03,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",LV,0.27,27,0.1626,0.0000,0.6059,Y,Y,07/2014,Incumbent
11-3031.03,4.A.3.b.1,Working with Computers,IM,4.43,27,0.1480,4.1285,4.7370,N,n/a,07/2014,Incumbent
11-3031.03,4.A.3.b.1,Working with Computers,LV,4.11,26,0.3739,3.3442,4.8843,N,N,07/2014,Incumbent
11-3031.03,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",IM,1.06,27,0.0559,1.0000,1.1740,N,n/a,07/2014,Incumbent
11-3031.03,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",LV,0.12,27,0.1118,0.0000,0.3479,Y,Y,07/2014,Incumbent
11-3031.03,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,IM,1.00,27,0.0000,n/a,n/a,N,n/a,07/2014,Incumbent
11-3031.03,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,LV,0.00,27,0.0000,n/a,n/a,N,Y,07/2014,Incumbent
11-3031.03,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,IM,1.06,27,0.0578,1.0000,1.1779,N,n/a,07/2014,Incumbent
11-3031.03,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,LV,0.12,27,0.1157,0.0000,0.3558,Y,Y,07/2014,Incumbent
11-3031.03,4.A.3.b.6,Documenting/Recording Information,IM,3.27,27,0.2108,2.8369,3.7037,N,n/a,07/2014,Incumbent
11-3031.03,4.A.3.b.6,Documenting/Recording Information,LV,4.10,26,0.3699,3.3419,4.8655,N,N,07/2014,Incumbent
11-3031.03,4.A.4.a.1,Interpreting the Meaning of Information for Others,IM,3.73,27,0.2417,3.2350,4.2287,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.a.1,Interpreting the Meaning of Information for Others,LV,4.61,25,0.4366,3.7123,5.5146,N,N,07/2014,Incumbent
11-3031.03,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",IM,4.21,27,0.1721,3.8530,4.5604,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",LV,4.94,26,0.2642,4.3916,5.4799,N,N,07/2014,Incumbent
11-3031.03,4.A.4.a.3,Communicating with People Outside the Organization,IM,4.04,27,0.0965,3.8455,4.2424,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.a.3,Communicating with People Outside the Organization,LV,5.19,26,0.3429,4.4804,5.8928,N,N,07/2014,Incumbent
11-3031.03,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,IM,3.73,27,0.2185,3.2805,4.1786,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,LV,4.89,26,0.2901,4.2950,5.4899,N,N,07/2014,Incumbent
11-3031.03,4.A.4.a.5,Assisting and Caring for Others,IM,1.82,25,0.2376,1.3282,2.3089,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.a.5,Assisting and Caring for Others,LV,1.40,26,0.3329,0.7139,2.0852,N,N,07/2014,Incumbent
11-3031.03,4.A.4.a.6,Selling or Influencing Others,IM,3.11,27,0.2396,2.6187,3.6038,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.a.6,Selling or Influencing Others,LV,4.06,25,0.3439,3.3549,4.7745,N,N,07/2014,Incumbent
11-3031.03,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,IM,2.61,27,0.3201,1.9495,3.2653,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,LV,3.26,26,0.5857,2.0497,4.4623,N,N,07/2014,Incumbent
11-3031.03,4.A.4.a.8,Performing for or Working Directly with the Public,IM,2.02,27,0.2798,1.4489,2.5993,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.a.8,Performing for or Working Directly with the Public,LV,1.73,27,0.4344,0.8350,2.6210,N,N,07/2014,Incumbent
11-3031.03,4.A.4.b.1,Coordinating the Work and Activities of Others,IM,2.65,27,0.2320,2.1722,3.1260,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.b.1,Coordinating the Work and Activities of Others,LV,3.15,26,0.4128,2.3032,4.0037,N,N,07/2014,Incumbent
11-3031.03,4.A.4.b.2,Developing and Building Teams,IM,3.13,27,0.2738,2.5672,3.6928,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.b.2,Developing and Building Teams,LV,3.35,26,0.4606,2.3967,4.2941,N,N,07/2014,Incumbent
11-3031.03,4.A.4.b.3,Training and Teaching Others,IM,3.10,27,0.2345,2.6176,3.5814,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.b.3,Training and Teaching Others,LV,4.07,26,0.3222,3.4032,4.7305,N,N,07/2014,Incumbent
11-3031.03,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",IM,2.77,27,0.2943,2.1677,3.3774,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",LV,3.08,26,0.3364,2.3854,3.7710,N,N,07/2014,Incumbent
11-3031.03,4.A.4.b.5,Coaching and Developing Others,IM,3.08,26,0.2388,2.5917,3.5754,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.b.5,Coaching and Developing Others,LV,3.96,26,0.3335,3.2769,4.6505,N,N,07/2014,Incumbent
11-3031.03,4.A.4.b.6,Providing Consultation and Advice to Others,IM,2.92,27,0.1605,2.5918,3.2518,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.b.6,Providing Consultation and Advice to Others,LV,4.04,26,0.3149,3.3922,4.6893,N,N,07/2014,Incumbent
11-3031.03,4.A.4.c.1,Performing Administrative Activities,IM,2.07,27,0.1632,1.7338,2.4046,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.c.1,Performing Administrative Activities,LV,2.14,26,0.2631,1.5988,2.6826,N,N,07/2014,Incumbent
11-3031.03,4.A.4.c.2,Staffing Organizational Units,IM,1.99,27,0.2485,1.4742,2.4958,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.c.2,Staffing Organizational Units,LV,1.94,26,0.4895,0.9278,2.9443,N,N,07/2014,Incumbent
11-3031.03,4.A.4.c.3,Monitoring and Controlling Resources,IM,2.21,27,0.3147,1.5615,2.8553,N,n/a,07/2014,Incumbent
11-3031.03,4.A.4.c.3,Monitoring and Controlling Resources,LV,2.52,26,0.5714,1.3401,3.6936,N,N,07/2014,Incumbent
11-3051.00,4.A.1.a.1,Getting Information,IM,4.46,37,0.1249,4.2076,4.7142,N,n/a,08/2021,Incumbent
11-3051.00,4.A.1.a.1,Getting Information,LV,4.28,37,0.2449,3.7820,4.7752,N,N,08/2021,Incumbent
11-3051.00,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",IM,4.19,37,0.1608,3.8678,4.5200,N,n/a,08/2021,Incumbent
11-3051.00,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",LV,4.82,37,0.3186,4.1736,5.4659,N,N,08/2021,Incumbent
11-3051.00,4.A.1.b.1,"Identifying Objects, Actions, and Events",IM,3.95,37,0.1458,3.6571,4.2487,N,n/a,08/2021,Incumbent
11-3051.00,4.A.1.b.1,"Identifying Objects, Actions, and Events",LV,3.97,36,0.3455,3.2644,4.6674,N,N,08/2021,Incumbent
11-3051.00,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",IM,4.02,36,0.1567,3.6987,4.3347,N,n/a,08/2021,Incumbent
11-3051.00,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",LV,3.95,35,0.2557,3.4325,4.4720,N,N,08/2021,Incumbent
11-3051.00,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",IM,3.52,37,0.1592,3.1928,3.8385,N,n/a,08/2021,Incumbent
11-3051.00,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",LV,3.27,37,0.1966,2.8679,3.6655,N,N,08/2021,Incumbent
11-3051.00,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",IM,3.67,37,0.1903,3.2871,4.0590,N,n/a,08/2021,Incumbent
11-3051.00,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",LV,3.72,37,0.2689,3.1733,4.2638,N,N,08/2021,Incumbent
11-3051.00,4.A.2.a.2,Processing Information,IM,3.77,37,0.2273,3.3042,4.2262,N,n/a,08/2021,Incumbent
11-3051.00,4.A.2.a.2,Processing Information,LV,4.07,37,0.3117,3.4378,4.7021,N,N,08/2021,Incumbent
11-3051.00,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,IM,3.63,37,0.2081,3.2077,4.0516,N,n/a,08/2021,Incumbent
11-3051.00,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,LV,3.63,37,0.2926,3.0388,4.2257,N,N,08/2021,Incumbent
11-3051.00,4.A.2.a.4,Analyzing Data or Information,IM,3.47,36,0.1627,3.1386,3.7991,N,n/a,08/2021,Incumbent
11-3051.00,4.A.2.a.4,Analyzing Data or Information,LV,3.53,37,0.2907,2.9385,4.1176,N,N,08/2021,Incumbent
11-3051.00,4.A.2.b.1,Making Decisions and Solving Problems,IM,4.43,36,0.1958,4.0358,4.8309,N,n/a,08/2021,Incumbent
11-3051.00,4.A.2.b.1,Making Decisions and Solving Problems,LV,4.64,37,0.3405,3.9493,5.3302,N,N,08/2021,Incumbent
11-3051.00,4.A.2.b.2,Thinking Creatively,IM,3.57,37,0.1868,3.1959,3.9535,N,n/a,08/2021,Incumbent
11-3051.00,4.A.2.b.2,Thinking Creatively,LV,4.49,37,0.3568,3.7618,5.2089,N,N,08/2021,Incumbent
11-3051.00,4.A.2.b.3,Updating and Using Relevant Knowledge,IM,3.65,37,0.1517,3.3399,3.9553,N,n/a,08/2021,Incumbent
11-3051.00,4.A.2.b.3,Updating and Using Relevant Knowledge,LV,4.73,37,0.3140,4.0964,5.3700,N,N,08/2021,Incumbent
11-3051.00,4.A.2.b.4,Developing Objectives and Strategies,IM,3.54,37,0.1904,3.1505,3.9228,N,n/a,08/2021,Incumbent
11-3051.00,4.A.2.b.4,Developing Objectives and Strategies,LV,3.52,37,0.3863,2.7393,4.3061,N,N,08/2021,Incumbent
11-3051.00,4.A.2.b.5,Scheduling Work and Activities,IM,3.61,37,0.2170,3.1732,4.0533,N,n/a,08/2021,Incumbent
11-3051.00,4.A.2.b.5,Scheduling Work and Activities,LV,4.21,37,0.3043,3.5943,4.8285,N,N,08/2021,Incumbent
11-3051.00,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",IM,3.84,37,0.1751,3.4802,4.1906,N,n/a,08/2021,Incumbent
11-3051.00,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",LV,4.74,37,0.3035,4.1289,5.3600,N,N,08/2021,Incumbent
11-3051.00,4.A.3.a.1,Performing General Physical Activities,IM,3.06,37,0.2229,2.6087,3.5127,N,n/a,08/2021,Incumbent
11-3051.00,4.A.3.a.1,Performing General Physical Activities,LV,3.19,37,0.2675,2.6456,3.7306,N,N,08/2021,Incumbent
11-3051.00,4.A.3.a.2,Handling and Moving Objects,IM,3.31,37,0.2374,2.8258,3.7889,N,n/a,08/2021,Incumbent
11-3051.00,4.A.3.a.2,Handling and Moving Objects,LV,4.91,37,0.3846,4.1296,5.6897,N,N,08/2021,Incumbent
11-3051.00,4.A.3.a.3,Controlling Machines and Processes,IM,3.57,35,0.2035,3.1521,3.9792,N,n/a,08/2021,Incumbent
11-3051.00,4.A.3.a.3,Controlling Machines and Processes,LV,4.82,36,0.4682,3.8687,5.7698,N,N,08/2021,Incumbent
11-3051.00,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",IM,2.79,37,0.2575,2.2727,3.3171,N,n/a,08/2021,Incumbent
11-3051.00,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",LV,2.33,37,0.3578,1.6030,3.0541,N,N,08/2021,Incumbent
11-3051.00,4.A.3.b.1,Working with Computers,IM,4.30,36,0.2267,3.8402,4.7608,N,n/a,08/2021,Incumbent
11-3051.00,4.A.3.b.1,Working with Computers,LV,3.97,36,0.3583,3.2402,4.6950,N,N,08/2021,Incumbent
11-3051.00,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",IM,2.68,37,0.2762,2.1209,3.2414,N,n/a,08/2021,Incumbent
11-3051.00,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",LV,2.84,37,0.3972,2.0393,3.6505,N,N,08/2021,Incumbent
11-3051.00,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,IM,2.83,36,0.3075,2.2078,3.4564,N,n/a,08/2021,Incumbent
11-3051.00,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,LV,3.27,37,0.5327,2.1866,4.3473,N,N,08/2021,Incumbent
11-3051.00,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,IM,2.72,37,0.3512,2.0055,3.4302,N,n/a,08/2021,Incumbent
11-3051.00,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,LV,2.88,37,0.5418,1.7823,3.9797,N,N,08/2021,Incumbent
11-3051.00,4.A.3.b.6,Documenting/Recording Information,IM,3.70,35,0.1874,3.3141,4.0760,N,n/a,08/2021,Incumbent
11-3051.00,4.A.3.b.6,Documenting/Recording Information,LV,3.47,37,0.2548,2.9539,3.9876,N,N,08/2021,Incumbent
11-3051.00,4.A.4.a.1,Interpreting the Meaning of Information for Others,IM,3.39,36,0.1834,3.0180,3.7628,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.a.1,Interpreting the Meaning of Information for Others,LV,2.96,36,0.2584,2.4330,3.4823,N,N,08/2021,Incumbent
11-3051.00,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",IM,4.19,37,0.1873,3.8110,4.5709,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",LV,4.68,37,0.3580,3.9581,5.4104,N,N,08/2021,Incumbent
11-3051.00,4.A.4.a.3,Communicating with People Outside the Organization,IM,3.32,37,0.2900,2.7291,3.9054,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.a.3,Communicating with People Outside the Organization,LV,3.37,37,0.3796,2.5988,4.1387,N,N,08/2021,Incumbent
11-3051.00,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,IM,3.86,37,0.2235,3.4073,4.3140,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,LV,4.86,37,0.3148,4.2194,5.4965,N,N,08/2021,Incumbent
11-3051.00,4.A.4.a.5,Assisting and Caring for Others,IM,2.54,37,0.2189,2.0972,2.9853,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.a.5,Assisting and Caring for Others,LV,2.58,37,0.3860,1.7981,3.3637,N,N,08/2021,Incumbent
11-3051.00,4.A.4.a.6,Selling or Influencing Others,IM,2.49,37,0.3364,1.8111,3.1755,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.a.6,Selling or Influencing Others,LV,2.44,37,0.5314,1.3660,3.5216,N,N,08/2021,Incumbent
11-3051.00,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,IM,3.64,37,0.2994,3.0298,4.2443,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,LV,4.22,37,0.4637,3.2793,5.1602,N,N,08/2021,Incumbent
11-3051.00,4.A.4.a.8,Performing for or Working Directly with the Public,IM,2.25,37,0.3186,1.6027,2.8948,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.a.8,Performing for or Working Directly with the Public,LV,2.16,37,0.6203,0.9034,3.4196,N,N,08/2021,Incumbent
11-3051.00,4.A.4.b.1,Coordinating the Work and Activities of Others,IM,3.75,36,0.2341,3.2790,4.2296,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.b.1,Coordinating the Work and Activities of Others,LV,4.21,37,0.4245,3.3516,5.0733,N,N,08/2021,Incumbent
11-3051.00,4.A.4.b.2,Developing and Building Teams,IM,3.74,37,0.2529,3.2243,4.2502,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.b.2,Developing and Building Teams,LV,3.66,37,0.3214,3.0104,4.3140,N,N,08/2021,Incumbent
11-3051.00,4.A.4.b.3,Training and Teaching Others,IM,3.47,36,0.2666,2.9296,4.0118,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.b.3,Training and Teaching Others,LV,3.69,37,0.2935,3.0907,4.2810,N,N,08/2021,Incumbent
11-3051.00,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",IM,3.71,35,0.2606,3.1826,4.2418,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",LV,4.68,37,0.4174,3.8302,5.5232,N,N,08/2021,Incumbent
11-3051.00,4.A.4.b.5,Coaching and Developing Others,IM,3.78,36,0.2005,3.3736,4.1878,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.b.5,Coaching and Developing Others,LV,4.36,37,0.2847,3.7803,4.9350,N,N,08/2021,Incumbent
11-3051.00,4.A.4.b.6,Providing Consultation and Advice to Others,IM,3.13,37,0.2286,2.6682,3.5955,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.b.6,Providing Consultation and Advice to Others,LV,3.47,37,0.4743,2.5040,4.4280,N,N,08/2021,Incumbent
11-3051.00,4.A.4.c.1,Performing Administrative Activities,IM,3.12,36,0.2899,2.5310,3.7081,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.c.1,Performing Administrative Activities,LV,3.06,36,0.4627,2.1234,4.0022,N,N,08/2021,Incumbent
11-3051.00,4.A.4.c.2,Staffing Organizational Units,IM,3.01,37,0.3039,2.3947,3.6275,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.c.2,Staffing Organizational Units,LV,3.21,37,0.4555,2.2874,4.1352,N,N,08/2021,Incumbent
11-3051.00,4.A.4.c.3,Monitoring and Controlling Resources,IM,3.45,35,0.2907,2.8632,4.0448,N,n/a,08/2021,Incumbent
11-3051.00,4.A.4.c.3,Monitoring and Controlling Resources,LV,3.80,37,0.4266,2.9350,4.6652,N,N,08/2021,Incumbent
11-3051.01,4.A.1.a.1,Getting Information,IM,4.36,21,0.1758,3.9923,4.7256,N,n/a,08/2022,Incumbent
11-3051.01,4.A.1.a.1,Getting Information,LV,5.17,21,0.2082,4.7365,5.6053,N,N,08/2022,Incumbent
11-3051.01,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",IM,4.21,21,0.3046,3.5784,4.8493,N,n/a,08/2022,Incumbent
11-3051.01,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",LV,5.16,20,0.3647,4.3981,5.9247,N,N,08/2022,Incumbent
11-3051.01,4.A.1.b.1,"Identifying Objects, Actions, and Events",IM,4.64,20,0.1622,4.2994,4.9785,N,n/a,08/2022,Incumbent
11-3051.01,4.A.1.b.1,"Identifying Objects, Actions, and Events",LV,4.90,21,0.2219,4.4382,5.3639,N,N,08/2022,Incumbent
11-3051.01,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",IM,4.09,21,0.2507,3.5664,4.6123,N,n/a,08/2022,Incumbent
11-3051.01,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",LV,4.50,21,0.1695,4.1476,4.8545,N,N,08/2022,Incumbent
11-3051.01,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",IM,3.96,21,0.2087,3.5275,4.3981,N,n/a,08/2022,Incumbent
11-3051.01,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",LV,4.17,21,0.2615,3.6231,4.7141,N,N,08/2022,Incumbent
11-3051.01,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",IM,4.15,21,0.1333,3.8727,4.4289,N,n/a,08/2022,Incumbent
11-3051.01,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",LV,4.74,21,0.2484,4.2237,5.2601,N,N,08/2022,Incumbent
11-3051.01,4.A.2.a.2,Processing Information,IM,4.22,21,0.2354,3.7268,4.7089,N,n/a,08/2022,Incumbent
11-3051.01,4.A.2.a.2,Processing Information,LV,5.23,21,0.2604,4.6886,5.7749,N,N,08/2022,Incumbent
11-3051.01,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,IM,4.54,21,0.1900,4.1431,4.9360,N,n/a,08/2022,Incumbent
11-3051.01,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,LV,5.09,21,0.2588,4.5460,5.6258,N,N,08/2022,Incumbent
11-3051.01,4.A.2.a.4,Analyzing Data or Information,IM,4.63,21,0.1553,4.3082,4.9560,N,n/a,08/2022,Incumbent
11-3051.01,4.A.2.a.4,Analyzing Data or Information,LV,5.03,21,0.4336,4.1233,5.9323,N,N,08/2022,Incumbent
11-3051.01,4.A.2.b.1,Making Decisions and Solving Problems,IM,4.30,20,0.1807,3.9242,4.6804,N,n/a,08/2022,Incumbent
11-3051.01,4.A.2.b.1,Making Decisions and Solving Problems,LV,4.93,21,0.2525,4.4003,5.4536,N,N,08/2022,Incumbent
11-3051.01,4.A.2.b.2,Thinking Creatively,IM,3.57,21,0.2144,3.1215,4.0160,N,n/a,08/2022,Incumbent
11-3051.01,4.A.2.b.2,Thinking Creatively,LV,4.39,21,0.2314,3.9090,4.8746,N,N,08/2022,Incumbent
11-3051.01,4.A.2.b.3,Updating and Using Relevant Knowledge,IM,4.16,21,0.1958,3.7485,4.5653,N,n/a,08/2022,Incumbent
